title,group,work,note
King Lear,Shakespeare,King Lear,
Lake Poets,Survey lectures,The Lake poets,
Lord Byron,Byron,(unspecified),
Luke 12,Scripture,Luke 12,
Macbeth,Shakespeare,Macbeth,
Merchant of Venice,Shakespeare,The Merchant of Venice,
Midsummer Night’s Dream,Shakespeare,A Midsummer Night’s Dream,
Milton,Milton,(unspecified),
Much Ado About Nothing,Shakespeare,Much Ado About Nothing,
Natural Philosophy,Science & mathematics,Natural philosophy,
Natural Philosophy and Mathematics,Science & mathematics,Natural philosophy,
Natural Philosophy and Mathematics,Science & mathematics,Mathematics,
On Justice,Scripture,On Justice,
Opening Academic Address,Occasional addresses,Opening academic address,
Othello,Shakespeare,Othello,
Percy Bysshe Shelley,Shelley,(unspecified),
Pilgrim’s Progress,Bunyan,(unspecified),the article does not say which part
Pilgrim’s Progress 1,Bunyan,"Pilgrim’s Progress, Part 1",
Pilgrim’s Progress 1 and 2,Bunyan,"Pilgrim’s Progress, Part 1",
Pilgrim’s Progress 1 and 2,Bunyan,"Pilgrim’s Progress, Part 2",
Pilgrim’s Progress 2,Bunyan,"Pilgrim’s Progress, Part 2",
Pilgrim’s Progress [2],Bunyan,"Pilgrim’s Progress, Part 2",
Polyeuctus,Corneille,Polyeuctus,Louisa MacDonald’s adaptation of Corneille
Polyeuctus and Macbeth,Corneille,Polyeuctus,
Polyeuctus and Macbeth,Shakespeare,Macbeth,
Rape of Lucrece,Shakespeare,The Rape of Lucrece,
Rime of the Ancient Mariner,Coleridge,The Rime of the Ancient Mariner,
Robert Burns and Thomas Hood,Burns,(unspecified),
Robert Burns and Thomas Hood,Hood,(unspecified),
Romeo and Juliet,Shakespeare,Romeo and Juliet,
Samuel Taylor Coleridge,Coleridge,(unspecified),
Scott,Scott,(unspecified),
Scott and Byron,Scott,(unspecified),
Scott and Byron,Byron,(unspecified),
Shakespeare,Shakespeare,(unspecified),the article names no play
Shakespeare’s Plays,Shakespeare,(unspecified),the article names no play
Shakespeare’s Sonnet 110,Shakespeare,Sonnet 110,
Shelley,Shelley,(unspecified),
Shelley and Cymbeline,Shelley,(unspecified),
Shelley and Cymbeline,Shakespeare,Cymbeline,
Shelley and Keats,Shelley,(unspecified),
Shelley and Keats,Keats,(unspecified),
Sidney,Sidney,(unspecified),
Sir Philip Sidney,Sidney,(unspecified),
Sir Walter Scott,Scott,(unspecified),
Sixteenth-Century Drama,Survey lectures,Sixteenth-century drama,
Sixteenth-Century Poetry,Survey lectures,Sixteenth-century poetry,
Spenser,Spenser,(unspecified),
Tableaux Vivante,Family entertainments,Tableaux Vivants,
Tennyson,Tennyson,(unspecified),
Tennyson’s “In Memoriam”,Tennyson,In Memoriam,
The Tempest,Shakespeare,The Tempest,
The Tetterby’s,Dickens,The Tetterbys,
The Tetterby’s and Obstinacy,Dickens,The Tetterbys,the Tetterbys are from Dickens’s The Haunted Man
The Tetterby’s and Obstinacy,Family entertainments,Obstinacy,the Tetterbys are from Dickens’s The Haunted Man
Timon of Athens,Shakespeare,Timon of Athens,
Twelfth Night,Shakespeare,Twelfth Night,
unknown,Unknown,(unknown),
William Wordsworth,Wordsworth,(unspecified),
Wordsworth,Wordsworth,(unspecified),
Wordsworth and Coleridge,Wordsworth,(unspecified),
Wordsworth and Coleridge,Coleridge,(unspecified),
Works of Spenser,Spenser,(unspecified),
Zaccheus,Scripture,Zacchaeus (Luke 19),
,Unknown,(unknown),
