location,events,query,lat,lon,geo_precision,country,display_name,note,manual
"Bordighera, ITL",9,"Bordighera, Italy",43.7939893,7.6731108,town,Italy,"Bordighera, Provincia di Imperia, Liguria, 18012, Italia",,FALSE
"Boston, MA",5,"Boston, Massachusetts, USA",42.3588336,-71.0578303,town,USA,"Boston, Suffolk County, Massachusetts, United States",,FALSE
Bournemouth,14,"Bournemouth, England, UK",50.7446718,-1.8579514,town,UK,"Bournemouth, Bear Cross, Bournemouth, Christchurch and Poole, England, United Kingdom",,FALSE
"Bow, London",1,"Bow, London, England, UK",51.5309383,-0.0274853,town,UK,"Bow, London Borough of Tower Hamlets, Greater London, England, E3 2DS, United Kingdom",,FALSE
Bradford,6,"Bradford, England, UK",53.7944229,-1.7519186,town,UK,"Bradford, West Yorkshire, England, BD1 1PH, United Kingdom",,FALSE
Brampton,1,"Brampton, Cumberland, United Kingdom",54.9422402,-2.7344533,town,UK,"Brampton, Cumberland, England, United Kingdom",follows Carlisle by one day on the 1885 tour,FALSE
"Brechin, SCT",1,"Brechin, Scotland, UK",56.7315193,-2.6600193,town,UK,"Brechin, Angus, Alba / Scotland, DD9 6ER, United Kingdom",,FALSE
Brighton,5,"Brighton, England, UK",50.8214626,-0.1400561,town,UK,"Brighton, Brighton and Hove, England, BN1 1HJ, United Kingdom",,FALSE
Bristol,10,"Bristol, England, UK",51.4430141,-2.5816622,town,UK,"City of Bristol, West of England, England, United Kingdom",,FALSE
"Brixton, London",1,"Brixton, London, England, UK",51.4633914,-0.1148023,town,UK,"Brixton, London Borough of Lambeth, Greater London, England, SW9 8BH, United Kingdom",,FALSE
"Brooklyn, NY",1,"Brooklyn, New York, USA",40.6526006,-73.9497211,town,USA,"Brooklyn, Kings County, New York, United States",,FALSE
"Buffalo, NY",2,"Buffalo, New York, USA",42.8864163,-78.8781493,town,USA,"Buffalo, Erie County, New York, United States",,FALSE
"Burlington, VT",1,"Burlington, Vermont, USA",44.4761601,-73.2129060,town,USA,"Burlington, Chittenden County, Vermont, United States",,FALSE
Buxton,1,"Buxton, England, UK",53.2593422,-1.9100768,town,UK,"Buxton, High Peak, Derbyshire, East Midlands, England, United Kingdom",,FALSE
Cambridge,3,"Cambridge, England, UK",52.1975846,0.1391537,town,UK,"Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom",,FALSE
"Camden, London",1,"Camden, London, England, UK",51.5427966,-0.1624803,town,UK,"London Borough of Camden, Greater London, England, United Kingdom",,FALSE
"Cannes, France",3,"Cannes, France",43.5515198,7.0134418,town,France,"Cannes, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",,FALSE
Canonbury,1,"Canonbury, England, UK",51.5423339,-0.0914333,town,UK,"Canonbury, Highbury, London Borough of Islington, Greater London, England, United Kingdom",,FALSE
Carlisle,1,"Carlisle, England, UK",54.8948478,-2.9362311,town,UK,"Carlisle, Cumberland, England, United Kingdom",,FALSE
"Charlestown, Boston, MA",1,"Charlestown, Boston, Massachusetts, USA",42.3778749,-71.0619957,town,USA,"Charlestown, Boston, Suffolk County, Massachusetts, 02129, United States",,FALSE
"Charlton, London",1,"Charlton, London, England, UK",51.4826053,0.0365359,town,UK,"Charlton, Royal Borough of Greenwich, Greater London, England, SE7 8UH, United Kingdom",,FALSE
Cheltenham,2,"Cheltenham, England, UK",51.8995685,-2.0711559,town,UK,"Cheltenham, Gloucestershire, England, GL52 2RX, United Kingdom",,FALSE
"Cheshunt, London",1,"Cheshunt, Hertfordshire, England, UK",51.7020520,-0.0335908,town,UK,"Cheshunt, Broxbourne, Hertfordshire, England, EN8 9AA, United Kingdom",the article gives London; Cheshunt is in Hertfordshire,FALSE
Chester,1,"Chester, England, UK",53.1908873,-2.8908955,town,UK,"Chester, Cheshire West and Chester, England, CH1 2ET, United Kingdom",,FALSE
Chesterfield,1,"Chesterfield, England, UK",53.2352134,-1.4264097,town,UK,"Chesterfield, Derbyshire, East Midlands, England, United Kingdom",,FALSE
"Chicago, IL",2,"Chicago, Illinois, USA",41.8755616,-87.6244212,town,USA,"Chicago, South Chicago Township, Cook County, Illinois, United States",,FALSE
Christchurch,1,"Christchurch, Dorset, England, UK",50.7651081,-1.8145131,town,UK,"Christchurch, Hurn, Bournemouth, Christchurch and Poole, England, United Kingdom",,FALSE
"Cincinnati, OH",2,"Cincinnati, Ohio, USA",39.1012809,-84.5127405,town,USA,"Cincinnati, Hamilton County, Ohio, United States",,FALSE
Clapham,2,"Clapham, England, UK",51.4614469,-0.1386270,town,UK,"Clapham, London Borough of Lambeth, Greater London, England, SW4 7AJ, United Kingdom",,FALSE
"Clapham, London",1,"Clapham, London, England, UK",51.4614469,-0.1386270,town,UK,"Clapham, London Borough of Lambeth, Greater London, England, SW4 7AJ, United Kingdom",,FALSE
Clifton,1,"Clifton, Bristol, England, UK",51.4615884,-2.6202846,town,UK,"Clifton, Bristol, City of Bristol, West of England, England, BS8 3EZ, United Kingdom",entry #467 names the Victoria Rooms and cites the Western Daily Press,FALSE
"Clifton, Bristol",1,"Clifton, Bristol, England, UK",51.4615884,-2.6202846,town,UK,"Clifton, Bristol, City of Bristol, West of England, England, BS8 3EZ, United Kingdom","the article gives ""Briston""; #428 was performed at Clifton College, in Bristol",FALSE
"Coatbridge, SCT",1,"Coatbridge, Scotland, UK",55.8624894,-4.0259894,town,UK,"Coatbridge, North Lanarkshire, Alba / Scotland, ML5 3EH, United Kingdom",,FALSE
"Columbus, OH",1,"Columbus, Ohio, USA",39.9622601,-83.0007065,town,USA,"Columbus, Sharon, Franklin County, Ohio, United States",,FALSE
Coventry,1,"Coventry, England, UK",52.4081812,-1.5104770,town,UK,"Coventry, West Midlands, England, CV1 1LL, United Kingdom",,FALSE
"Crieff, SCT",2,"Crieff, Scotland, UK",56.3727170,-3.8397453,town,UK,"Crieff, Perth and Kinross, Alba / Scotland, PH7 3BS, United Kingdom",,FALSE
"Croydon, London",6,"Croydon, London, England, UK",51.3713049,-0.1019570,town,UK,"Croydon, Greater London, England, CR0 1SZ, United Kingdom",,FALSE
"Cullen, SCT",1,"Cullen, Scotland, UK",57.6911126,-2.8195913,town,UK,"Cullen, Moray, Alba / Scotland, AB56 4RR, United Kingdom",,FALSE
"Cupar, Fife, SCT",2,"Cupar, Fife, Scotland, UK",56.3193913,-3.0116545,town,UK,"Cupar, Fife, Alba / Scotland, KY15 4BP, United Kingdom","the article gives only ""Fife""; #583 cites the Fife Herald, published at Cupar",FALSE
"Davenport, IA",1,"Davenport, Iowa, USA",41.5224692,-90.5756401,town,USA,"Davenport, Scott County, Iowa, United States",,FALSE
"Dayton, OH",2,"Dayton, Ohio, USA",39.7589478,-84.1916069,town,USA,"Dayton, Montgomery County, Ohio, United States",,FALSE
"Decatur, IL",1,"Decatur, Illinois, USA",39.8454163,-88.9524151,town,USA,"Decatur, Macon County, Illinois, United States",,FALSE
"Delaware, OH",1,"Delaware, Ohio, USA",40.2317686,-82.9651045,town,USA,"Delaware County, Ohio, United States",,FALSE
Derby,4,"Derby, England, UK",52.9142235,-1.4719885,town,UK,"Derby, East Midlands, England, United Kingdom",,FALSE
Derbyshire,1,"Derbyshire, England, UK",53.1666927,-1.5833223,region,UK,"Derbyshire, East Midlands, England, United Kingdom","region, not a town",FALSE
"Detroit, MI",1,"Detroit, Michigan, USA",42.3315509,-83.0466403,town,USA,"Detroit, Wayne County, Michigan, United States",,FALSE
Devizes,2,"Devizes, England, UK",51.3525027,-1.9958302,town,UK,"Devizes, Wiltshire, England, United Kingdom",,FALSE
"Dover, DE",1,"Dover, Delaware, USA",39.1581680,-75.5243682,town,USA,"Dover, Kent County, Delaware, United States",,FALSE
Droitwich,1,"Droitwich, England, UK",52.2685100,-2.1486075,town,UK,"Droitwich Spa, Wychavon, Worcestershire, England, WR9 8EJ, United Kingdom",,FALSE
Droylsden,1,"Droylsden, England, UK",53.4786034,-2.1491964,town,UK,"Droylsden, Tameside, Greater Manchester, England, M43 6GN, United Kingdom",,FALSE
Dudley,1,"Dudley, England, UK",52.5110832,-2.0816813,town,UK,"Dudley, West Midlands, England, DY1 1LS, United Kingdom",,FALSE
"Dumfries, SCT",1,"Dumfries, Scotland, UK",55.0691831,-3.6106856,town,UK,"Dumfries, Dumfries and Galloway, Alba / Scotland, DG1 1BL, United Kingdom",,FALSE
"Dundee, SCT",4,"Dundee, Scotland, UK",56.4605938,-2.9701900,town,UK,"Dundee, Dundee City, Alba / Scotland, DD1 1SA, United Kingdom",,FALSE
"Dunfermline, SCT",1,"Dunfermline, Scotland, UK",56.0713724,-3.4616183,town,UK,"Dunfermline, Fife, Alba / Scotland, United Kingdom",,FALSE
"East Saginaw, MI.",1,"Saginaw, Michigan, USA",43.4200387,-83.9490365,town,USA,"Saginaw, Carrollton Township, Saginaw County, Michigan, United States",East Saginaw merged into Saginaw in 1889,FALSE
Eastbourne,2,"Eastbourne, England, UK",50.7664372,0.2781546,town,UK,"Eastbourne, East Sussex, England, United Kingdom",,FALSE
Eckington,1,"Eckington, England, UK",53.3089836,-1.3557936,town,UK,"Eckington, North East Derbyshire, Derbyshire, East Midlands, England, United Kingdom",,FALSE
Edgbaston,5,"Edgbaston, England, UK",52.4709941,-1.9225861,town,UK,"Edgbaston, Birmingham, West Midlands, England, B15 3AA, United Kingdom",,FALSE
Edinburgh,2,"Edinburgh, Scotland, UK",55.9533456,-3.1883749,town,UK,"City of Edinburgh, Alba / Scotland, United Kingdom","the article lists both ""Edinburgh"" and ""Edinburgh, SCT""",FALSE
"Edinburgh, SCT",21,"Edinburgh, Scotland, UK",55.9533456,-3.1883749,town,UK,"City of Edinburgh, Alba / Scotland, United Kingdom",,FALSE
"Elie, SCT",1,"Elie, Scotland, UK",56.1904515,-2.8202468,town,UK,"Elie, Elie and Earlsferry, Fife, Alba / Scotland, KY9 1DB, United Kingdom",,FALSE
"Elmira, NY",2,"Elmira, New York, USA",42.0897965,-76.8077338,town,USA,"City of Elmira, Chemung County, New York, United States",,FALSE
"Enfield, London",1,"Enfield, London, England, UK",51.6520851,-0.0810175,town,UK,"Enfield, Greater London, England, EN2 6LD, United Kingdom",,FALSE
Exeter,2,"Exeter, England, UK",50.7256138,-3.5269209,town,UK,"Exeter, Devon, Devon and Torbay, England, United Kingdom",,FALSE
Farmingham,2,"Farningham, Kent, England, UK",51.3747477,0.2356021,town,UK,"Farningham, Sevenoaks, Kent, England, United Kingdom",probable source spelling of Farningham,FALSE
Filey,2,"Filey, England, UK",54.2096884,-0.2888382,town,UK,"Filey, North Yorkshire, York and North Yorkshire, England, United Kingdom",,FALSE
"Fitchburg, MA",1,"Fitchburg, Massachusetts, USA",42.5838984,-71.8038268,town,USA,"Fitchburg, Worcester County, Massachusetts, 01420, United States",,FALSE
"Flint, MI.",1,"Flint, Michigan, USA",43.0161693,-83.6900211,town,USA,"Flint, Genesee County, Michigan, United States",,FALSE
"Fraserburgh, SCT",1,"Fraserburgh, Scotland, UK",57.6935974,-2.0051497,town,UK,"Fraserburgh, Aberdeenshire, Alba / Scotland, AB43 9DA, United Kingdom",,FALSE
"Galashiels, SCT",2,"Galashiels, Scotland, UK",55.6156505,-2.8061618,town,UK,"Galashiels, Scottish Borders, Alba / Scotland, TD1 3AA, United Kingdom",,FALSE
"Genova, ITL",1,"Genoa, Italy",44.4072600,8.9338624,town,Italy,"Genova, Liguria, Italia",,FALSE
"Glasgow, SCT",16,"Glasgow, Scotland, UK",55.8611550,-4.2501687,town,UK,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",,FALSE
"Greenock, SCT",2,"Greenock, Scotland, UK",55.9473423,-4.7564721,town,UK,"Greenock, Inverclyde, Alba / Scotland, PA15 1LS, United Kingdom",,FALSE
Guildford,1,"Guildford, England, UK",51.2356068,-0.5732063,town,UK,"Guildford, Surrey, England, GU1 3DP, United Kingdom",,FALSE
"Hamilton, Ontario",1,"Hamilton, Ontario, Canada",43.2560802,-79.8728583,town,Canada,"Hamilton, Golden Horseshoe, Ontario, Canada",,FALSE
"Hammersmith, London",2,"Hammersmith, London, England, UK",51.4920377,-0.2236401,town,UK,"Hammersmith, London Borough of Hammersmith and Fulham, Greater London, England, W6 9YD, United Kingdom",,FALSE
"Hampstead, London",7,"Hampstead, London, England, UK",51.5565300,-0.1783011,town,UK,"Hampstead, Greater London, England, NW3 1QG, United Kingdom",,FALSE
Hanley,1,"Hanley, Stoke-on-Trent, England, UK",53.0261110,-2.1754512,town,UK,"Hanley, Stoke-on-Trent, England, ST1 1LD, United Kingdom",,FALSE
"Hanover, MA",1,"Hanover, Massachusetts, USA",42.1131572,-70.8119859,town,USA,"Hanover, Plymouth County, Massachusetts, United States",,FALSE
Harbourne,1,"Harborne, Birmingham, England, UK",52.4591151,-1.9480763,town,UK,"Harborne, Metchley, Birmingham, West Midlands, England, B17 9PN, United Kingdom",source spelling of Harborne,FALSE
"Harrisburg, PA",1,"Harrisburg, Pennsylvania, USA",40.2663107,-76.8861122,town,USA,"Harrisburg, Dauphin County, Pennsylvania, United States",,FALSE
Harrogate,1,"Harrogate, England, UK",53.9921491,-1.5391039,town,UK,"Harrogate, North Yorkshire, York and North Yorkshire, England, HG1 1QS, United Kingdom",,FALSE
"Hartford, CT",1,"Hartford, Connecticut, USA",41.7645820,-72.6908547,town,USA,"Hartford, Capitol Planning Region, Connecticut, United States",,FALSE
Hastings,8,"Hastings, England, UK",50.8550976,0.5821779,town,UK,"Hastings, East Sussex, England, United Kingdom",,FALSE
"Helensburgh, SCT",1,"Helensburgh, Scotland, UK",56.0033464,-4.7342935,town,UK,"Helensburgh, Argyll and Bute, Alba / Scotland, G84 7NY, United Kingdom",,FALSE
"Hendon, London",1,"Hendon, London, England, UK",51.5897175,-0.2216026,town,UK,"Hendon, London Borough of Barnet, Greater London, England, NW4 1BP, United Kingdom",,FALSE
"Highgate, London",1,"Highgate, London, England, UK",51.5706446,-0.1492397,town,UK,"Highgate, London Borough of Camden, Greater London, England, N6 5JX, United Kingdom",,FALSE
"Holborn, London",1,"Holborn, London, England, UK",51.5195982,-0.1137266,town,UK,"Holborn, London Borough of Camden, Greater London, England, WC1R 5AH, United Kingdom",,FALSE
"Homer, NY",1,"Homer, New York, USA",42.6368711,-76.1787783,town,USA,"Town of Homer, Cortland County, New York, United States",,FALSE
Huddersfield,2,"Huddersfield, England, UK",53.6466645,-1.7822482,town,UK,"Huddersfield, Kirklees, West Yorkshire, England, HD1 2AN, United Kingdom",,FALSE
Hull,4,"Kingston upon Hull, England, UK",53.7435722,-0.3394758,town,UK,"Hull, Kingston upon Hull, Hull and East Yorkshire, England, HU1 3DX, United Kingdom",,FALSE
"Huntly, SCT",3,"Huntly, Scotland, UK",57.4474806,-2.7864246,town,UK,"Huntly, Aberdeenshire, Alba / Scotland, AB54 8AE, United Kingdom",,FALSE
Ilfracombe,2,"Ilfracombe, England, UK",51.2076674,-4.1254662,town,UK,"Ilfracombe, North Devon, Devon, Devon and Torbay, England, United Kingdom",,FALSE
Ilkley,2,"Ilkley, England, UK",53.9257254,-1.8244410,town,UK,"Ilkley, Bradford, West Yorkshire, England, United Kingdom",,FALSE
"Indiana, PA",1,"Indiana, Pennsylvania, USA",40.6424116,-79.1262839,town,USA,"Indiana County, Pennsylvania, United States",,FALSE
"Inverness, SCT",1,"Inverness, Scotland, UK",57.4790124,-4.2257390,town,UK,"Inverness, Highland, Alba / Scotland, IV1 1AN, United Kingdom",,FALSE
"Islington, London",8,"Islington, London, England, UK",51.5384287,-0.0999051,town,UK,"Islington, London Borough of Islington, Greater London, England, N1 2BH, United Kingdom",,FALSE
Jarrow,1,"Jarrow, England, UK",54.9812514,-1.4908447,town,UK,"Jarrow, South Tyneside, Tyne and Wear, North East, England, NE32 3JU, United Kingdom",,FALSE
"Jersey City, NJ",1,"Jersey City, New Jersey, USA",40.7215682,-74.0474550,town,USA,"Jersey City, Hudson County, New Jersey, United States",,FALSE
"Keith, SCT",1,"Keith, Scotland, UK",57.5427292,-2.9523291,town,UK,"Keith, Moray, Alba / Scotland, AB55 5FF, United Kingdom",,FALSE
Lancaster,1,"Lancaster, England, UK",54.0488219,-2.8013499,town,UK,"Lancaster, Lancashire, England, LA1 1JQ, United Kingdom",,FALSE
Leamington,2,"Leamington, England, UK",52.2913394,-1.5364040,town,UK,"Royal Leamington Spa, Warwick, Warwickshire, England, United Kingdom",,FALSE
Leeds,2,"Leeds, England, UK",53.7974185,-1.5437941,town,UK,"Leeds, West Yorkshire, England, LS1 6AL, United Kingdom",,FALSE
Leicester,11,"Leicester, England, UK",52.6362000,-1.1331969,town,UK,"Leicester, City of Leicester, England, LE1 4FB, United Kingdom",,FALSE
"Leominster, MA",1,"Leominster, Massachusetts, USA",42.5267443,-71.7614891,town,USA,"Leominster, Worcester County, Massachusetts, 01453, United States",,FALSE
"Lewisham, London",2,"Lewisham, London, England, UK",51.4624292,-0.0101787,town,UK,"Lewisham, Greater London, England, SE13 6BB, United Kingdom",,FALSE
Liverpool,28,"Liverpool, England, UK",53.3933411,-2.9166389,town,UK,"Liverpool, Liverpool City Region, England, United Kingdom",,FALSE
London,154,"London, England, UK",51.5074456,-0.1277653,town,UK,"Greater London, England, United Kingdom",,FALSE
London.,1,"London, England, UK",51.5074456,-0.1277653,town,UK,"Greater London, England, United Kingdom",,FALSE
"Lowell, MA",1,"Lowell, Massachusetts, USA",42.6414437,-71.3085329,town,USA,"Lowell, Middlesex County, Massachusetts, United States",,FALSE
"Lurgan, IRL",1,"Lurgan, Ireland",54.5410995,-8.1547343,town,Ireland,"Lurgan, Ballintra ED, Donegal Municipal District, County Donegal, Ulster, Éire / Ireland",,FALSE
"Lynn, MA",1,"Lynn, Massachusetts, USA",42.4667630,-70.9494939,town,USA,"Lynn, Essex County, Massachusetts, United States",,FALSE
Maidstone,4,"Maidstone, England, UK",51.2748258,0.5231646,town,UK,"Maidstone, Kent, England, United Kingdom",,FALSE
Malvern,1,"Malvern, England, UK",52.1159559,-2.3258985,town,UK,"Malvern, Malvern Hills, Worcestershire, England, WR14 2HX, United Kingdom",,FALSE
Manchester,10,"Manchester, England, UK",53.4424618,-2.2324547,town,UK,"Manchester, Greater Manchester, England, United Kingdom",,FALSE
Mansfield,1,"Mansfield, England, UK",53.1443785,-1.1964165,town,UK,"Mansfield, Nottinghamshire, East Midlands, England, NG18 1JA, United Kingdom",,FALSE
Matlock,1,"Matlock, England, UK",53.1374514,-1.5544694,town,UK,"Matlock, Derbyshire Dales, Derbyshire, East Midlands, England, DE4 3AP, United Kingdom",,FALSE
Mealsgate,1,"Mealsgate, United Kingdom",54.7671081,-3.2314565,town,UK,"Mealsgate, Cumberland, England, CA7 1AH, United Kingdom",,FALSE
"Menai, Wales",1,"Menai Bridge, Anglesey, Wales, UK",53.2259347,-4.1631064,town,UK,"Menai Bridge, Ynys Môn / Isle of Anglesey, Cymru / Wales, United Kingdom",,FALSE
"Mentone, ITL",2,"Menton, France",43.7753495,7.5029213,town,France,"Menton, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06500, France","the article marks this ITL; ""Mentone"" is the historic name of Menton, on the French side of the Riviera",FALSE
"Milwaukee, WI",1,"Milwaukee, Wisconsin, USA",43.0386475,-87.9090751,town,USA,"Milwaukee, Milwaukee County, Wisconsin, United States",,FALSE
"Moffat, SCT",2,"Moffat, Scotland, UK",55.3332407,-3.4443570,town,UK,"Moffat, Dumfries and Galloway, Alba / Scotland, DG10 9DL, United Kingdom",,FALSE
"Montreal, Quebec",2,"Montreal, Quebec, Canada",45.5031824,-73.5698065,town,Canada,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada",,FALSE
"Montrose, SCT",1,"Montrose, Scotland, UK",56.7114295,-2.4681544,town,UK,"Montrose, Angus, Alba / Scotland, DD10 8QZ, United Kingdom",,FALSE
"Nervi, ITL",2,"Nervi, Genoa, Italy",44.3833121,9.0391295,town,Italy,"Nervi, Levante, Genova, Liguria, 16167, Italia",,FALSE
"New Barnet, London",1,"New Barnet, London, England, UK",51.6495724,-0.1710060,town,UK,"New Barnet, London Borough of Barnet, Greater London, England, EN4 8RN, United Kingdom",,FALSE
"New York, NY",8,"New York, New York, USA",40.7127281,-74.0060152,town,USA,"New York, United States",,FALSE
"Newark, NJ",2,"Newark, New Jersey, USA",40.7356570,-74.1723667,town,USA,"Newark, Essex County, New Jersey, United States",,FALSE
Newcastle,8,"Newcastle upon Tyne, England, UK",54.9738474,-1.6131572,town,UK,"Newcastle upon Tyne, Tyne and Wear, North East, England, United Kingdom",,FALSE
Newton,2,"Newton-le-Willows, England, UK",54.2970219,-1.6771463,town,UK,"Newton-le-Willows, North Yorkshire, York and North Yorkshire, England, United Kingdom",entry #108 names Crow Lane and cites the Wigan Observer,FALSE
"North Berwick, SCT",2,"North Berwick, Scotland, UK",56.0581178,-2.7209129,town,UK,"North Berwick, East Lothian, Alba / Scotland, EH39 4HE, United Kingdom",,FALSE
North Shields,3,"North Shields, England, UK",55.0087655,-1.4471035,town,UK,"North Shields, North Tyneside, Tyne and Wear, North East, England, NE29 0SZ, United Kingdom",,FALSE
"Northampton, MA",1,"Northampton, Massachusetts, USA",42.3178989,-72.6311006,town,USA,"Northampton, Hampshire County, Massachusetts, United States",,FALSE
Norwich,2,"Norwich, England, UK",52.6285576,1.2923954,town,UK,"Norwich, Norfolk, England, United Kingdom",,FALSE
Norwood,1,"Norwood, England, UK",53.9744583,-1.6765656,town,UK,"Norwood, North Yorkshire, York and North Yorkshire, England, United Kingdom",,FALSE
"Norwood, London",1,"Norwood, London, England, UK",51.4164053,-0.0940347,town,UK,"Upper Norwood, London Borough of Croydon, Greater London, England, SE19 3DP, United Kingdom",,FALSE
Nottingham,8,"Nottingham, England, UK",52.9534193,-1.1496461,town,UK,"City of Nottingham, Nottinghamshire, East Midlands, England, United Kingdom",,FALSE
"Orange, NJ",1,"Orange, New Jersey, USA",40.7709499,-74.2264601,town,USA,"Orange, Essex County, New Jersey, United States",,FALSE
"Oswego, NY",1,"Oswego, New York, USA",43.4112973,-76.1279841,town,USA,"Oswego County, New York, United States",,FALSE
"Paisley, SCT",1,"Paisley, Scotland, UK",55.8455828,-4.4239646,town,UK,"Paisley, Renfrewshire, Alba / Scotland, PA1 1BY, United Kingdom",,FALSE
"Peabody, MA",1,"Peabody, Massachusetts, USA",42.5278731,-70.9286609,town,USA,"Peabody, Essex County, Massachusetts, 01960, United States",,FALSE
"Peckham, London",1,"Peckham, London, England, UK",51.4734122,-0.0699321,town,UK,"Peckham, London Borough of Southwark, Greater London, England, SE15 5DW, United Kingdom",,FALSE
"Peebles, SCT",1,"Peebles, Scotland, UK",55.6517553,-3.1885456,town,UK,"Peebles, Scottish Borders, Alba / Scotland, EH45 8SL, United Kingdom",,FALSE
Pelsall,1,"Pelsall, England, UK",52.6284169,-1.9667399,town,UK,"Pelsall, Walsall, West Midlands, England, WS3 4BB, United Kingdom",,FALSE
"Peterhead, SCT",1,"Peterhead, Scotland, UK",57.5052909,-1.7813194,town,UK,"Peterhead, Aberdeenshire, Alba / Scotland, AB42 1PT, United Kingdom",,FALSE
"Philadelphia, PA",1,"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262,town,USA,"Philadelphia, Philadelphia County, Pennsylvania, United States",,FALSE
"Pittsburgh, PA",1,"Pittsburgh, Pennsylvania, USA",40.4406968,-80.0025666,town,USA,"Pittsburgh, Allegheny County, Pennsylvania, United States",,FALSE
"Plainfield [Scotch Plains], NJ",1,"Plainfield, New Jersey, USA",40.6201412,-74.4222416,town,USA,"Plainfield, Union County, New Jersey, United States",source gives Scotch Plains as an alternative,FALSE
"Poplar, London",2,"Poplar, London, England, UK",51.5110713,-0.0144629,town,UK,"Poplar, London Borough of Tower Hamlets, Greater London, England, E14 6BP, United Kingdom",,FALSE
